Mês	SELIC	IPCA	DÓLAR
out/21	7,75%	10,67%	5,55
nov/21	7,75%	10,74%	5,54
dez/21	9,25%	10,06%	5,64
jan/22	9,25%	10,38%	5,49
fev/22	10,75%	10,54%	5,17
mar/22	11,75%	11,30%	4,95
abr/22	11,75%	12,13%	4,8
mai/22	12,75%	11,73%	4,95
jun/22	13,25%	11,89%	5,02
jul/22	13,25%	11,07%	5,34
ago/22	13,75%	8,73%	5,15
set/22	13,75%	7,17%	5,25
out/22	13,75%	6,47%	5,27
nov/22	13,75%	5,90%	5,24
dez/22	13,75%	5,79%	5,24
jan/23	13,75%	5,77%	5,27
fev/23	13,75%	5,60%	5,17
mar/23	13,75%	4,65%	5,18
